Symbol	Last Sale	Net Change	% Change	Market Cap	Volume					
ENPH	$186.79 	-1.9	-1.01%	25200296162	1193136					
ENR	$39.28 	0.24	0.62%	2613837557	344518					
ENS	$78.53 	0.34	0.44%	3289723632	113358					
ENSG	$85.07 	0.93	1.11%	4700526346	250373					
ENTA	$75.01 	-0.56	-0.74%	1524562873	116198					
ENTG	$139.51 	-1.43	-1.02%	18900562287	807310					
ENV	$82.16 	-0.1	-0.12%	4489572648	115158					
ENVA	$41.21 	0.4	0.98%	1500923092	132646					
ENVX	$26.62 	0.63	2.42%	3866438617	719117					
EOG	$90.22 	-0.56	-0.62%	52786818086	2307850					
EOI	$20.10 	0.02	0.10%	792077806	30488					
EOLS	$6.66 	-0.14	-2.06%	370142740	462295					
EOSE	$8.07 	-0.3	-3.58%	433349639	515088					
EOT	$22.42 	-0.34	-1.49%	348361041	10720					
EPAC	$20.53 	0.3	1.48%	1238350014	175299					
EPAM	$682.20 	-14.8	-2.12%	38694083150	272938					
EPAY	$56.33 	-0.26	-0.46%	2544622466	580861					
EPD	$21.62 	0.04	0.19%	47177649670	4376277					
EPHY	$9.75 	0.0088	0.09%	498346875	23367					
EPR	$47.49 	-0.02	-0.04%	3552510013	376463					
EPRT	$28.54 	0.29	1.03%	3469718021	477191					
EQBK	$34.45 	0.43	1.26%	580518638	25796					
EQC	$26.00 	-0.1	-0.38%	3143536526	832763					
EQD	$9.83 	0.01	0.10%	508702500	31590					
EQH	$33.08 	0.05	0.15%	13389743105	1635236					
EQIX	$838.01 	2.9	0.35%	75455426012	242898					
EQR	$89.90 	0.52	0.58%	33713958358	752464					
EQRX	$6.32 	0.04	0.64%	3081838127	581191					
EQT	$22.87 	0.05	0.22%	8643822365	3665614					
ERAS	$14.45 	0.24	1.69%	1752067919	421522					
ERC	$13.25 	0.09	0.68%	372219954	49193					
ERES	$9.88 	0	0.00%	426075000	15947					
ERIE	$194.17 	1.51	0.78%	10153123670	33246					
ERII	$21.34 	-0.07	-0.33%	1210375479	124446					
ES	$90.06 	0.84	0.94%	30963151429	550199					
ESE	$88.16 	0.5	0.57%	2301079324	94126					
ESI	$24.12 	0.09	0.38%	5969782056	651124					
ESPR	$4.92 	-0.15	-2.96%	306590110	1974948					
ESRT	$8.94 	0	0.00%	1550814514	1245407					
ESS	$349.62 	3.11	0.90%	22756007474	199350					
ESTC	$122.34 	-1.91	-1.54%	11330381957	668104					
ESTE	$11.52 	0.16	1.41%	614161509	436687					
ET	$8.27 	-0.03	-0.36%	26309738863	11708141					
ETAC	$9.83 	0	0.00%	749046000	22234					
ETB	$17.03 	0.02	0.12%	469008124	23626					
ETD	$26.24 	0.24	0.92%	662823345	250796					
ETG	$22.42 	0.06	0.27%	1710650798	63787					
ETJ	$10.67 	-0.06	-0.56%	683639245	133653					
ETO	$32.16 	-0.09	-0.28%	520113710	22795					
ETR	$111.89 	1.06	0.96%	22487797433	341042					
ETSY	$221.73 	-7.94	-3.46%	28111094589	1087288					
ETV	$16.69 	-0.13	-0.77%	1746314839	244949					
ETW	$11.05 	-0.08	-0.72%	1188581515	165903					
ETY	$14.91 	0	0.00%	2304877200	156829					
EVA	$72.13 	0.07	0.10%	4401584013	43608					
EVBG	$66.73 	-0.94	-1.39%	2573251736	893553					
EVC	$6.83 	-0.17	-2.43%	583462107	327101					
EVCM	$17.16 	0.33	1.96%	3352402636	395818					
EVER	$14.99 	-0.37	-2.41%	443459348	162521					
EVGO	$9.75 	-0.3	-2.99%	2579233508	3754271					
EVH	$27.21 	0.3	1.12%	2432859895	251413					
EVI	$31.85 	-1.6	-4.78%	420729200	61012					
EVLO	$6.61 	-0.24	-3.50%	353370256	273754					
EVLV	$4.66 	-0.05	-1.06%	663748409	330538					
EVN	$13.68 	0.02	0.15%	542646790	78644					
EVOP	$24.90 	0.04	0.16%	1032709398	123789					
EVR	$137.88 	-0.06	-0.04%	5379969916	184952					
EVRI	$21.01 	-0.52	-2.42%	1911460932	438688					
EVT	$29.36 	-0.18	-0.61%	2162473072	65700					
EVV	$13.18 	0.02	0.15%	1531124000	748278					
EW	$129.35 	-1.23	-0.94%	80757667058	1298078					
EWBC	$78.74 	-0.01	-0.01%	11173795841	270310					
EWCZ	$29.37 	-0.86	-2.85%	1000688384	240733					
EWTX	$14.99 	0.58	4.03%	738944642	181843					
EXAS	$73.46 	-1.08	-1.45%	12658540591	1370642					
EXC	$55.61 	0.8	1.46%	54404252135	3271065					
EXEL	$18.84 	-0.18	-0.95%	5960926262	1047484					
EXFY	$35.88 	-2.63	-6.83%	2909026399	157711					
EXG	$10.50 	-0.01	-0.10%	3197105846	443729					
EXLS	$144.18 	-0.3	-0.21%	4801613852	123337					
EXP	$166.25 	0.02	0.01%	6762041029	198557					
EXPD	$132.97 	-0.07	-0.05%	22525626211	413498					
EXPE	$180.80 	-1.45	-0.80%	27396196950	1073108					
EXPI	$34.34 	-1.54	-4.29%	5066423052	608222					
EXPO	$116.27 	-0.64	-0.55%	6059005035	122817					
EXR	$222.55 	0.8	0.36%	29797620980	414472					
EXTR	$16.02 	-0.01	-0.06%	2080665393	1737577					
EYE	$47.94 	-0.87	-1.78%	3964680906	302587					
EYPT	$12.64 	-0.46	-3.51%	428488884	142760					
EZPW	$7.43 	0.18	2.48%	416500605	286280					
F	$20.76 	-0.04	-0.19%	82961973602	52783621					
FA	$18.99 	0.53	2.87%	2903097693	654538					
FAF	$77.72 	-0.19	-0.24%	8531090152	393942					
FANG	$110.16 	-0.98	-0.88%	19958188318	1408378					
FARO	$71.08 	-0.46	-0.64%	1293923474	38257					
FAST	$63.88 	0.3	0.47%	36741435054	1545726					
FATE	$60.15 	2.29	3.96%	5743889875	1055459					
FAX	$3.91 	-0.05	-1.26%	968490457	559221					
FB	$346.22 	0.04	0.01%	9.76148E+11	16610774					
FBC	$47.97 	0.24	0.50%	2535866796	132021					
FBHS	$105.91 	1.15	1.10%	14375624585	564931					
FBK	$43.97 	0.28	0.64%	2097887802	70255					
FBMS	$39.03 	0	0.00%	820399242	27161					
FBNC	$45.83 	0.26	0.57%	1631329941	66629					
FC	$46.50 	0.31	0.67%	664414506	23683					
FCBC	$33.56 	-0.38	-1.12%	571092534	29776					
FCEL	$5.87 	-0.43	-6.83%	2152022507	28881586					
FCF	$16.07 	-0.05	-0.31%	1525558638	233455					
FCFS	$73.00 	1.36	1.90%	3539290171	315470					
FCN	$153.31 	-0.47	-0.31%	5256764876	247200					
FCNCA	$851.74 	-8.54	-0.99%	8361024795	64248					
FCPT	$29.21 	-0.02	-0.07%	2259470410	237816					
FCT	$11.81 	0	0.00%	306550174	79939					
FCUV	$10.11 	-0.75	-6.91%	437355982	56279					
FCX	$41.99 	0	0.00%	61661202937	10835162					
FDBC	$57.19 	-2.19	-3.69%	322876840	2579					
FDMT	$21.54 	-0.26	-1.19%	692270054	143142					
FDS	$487.73 	2.11	0.43%	18359184847	197564					
FDUS	$18.03 	0.16	0.90%	440606322	85635					
FDX	$256.44 	0.19	0.07%	67948738062	1342302					
FE	$40.99 	0.54	1.34%	23372015753	1877414					
FELE	$93.96 	0.73	0.78%	4362632612	84562					
FF	$7.56 	-0.2	-2.58%	330850117	138897					
FFA	$21.30 	0.03	0.14%	425634449	26911					
FFBC	$24.47 	-0.01	-0.04%	2294060175	195887					
FFIC	$24.13 	-0.15	-0.62%	740216585	82331					
FFIN	$51.14 	0.12	0.24%	7286077044	227761					
FFIV	$246.71 	3.39	1.39%	15105902313	388316					
FFWM	$25.28 	-0.13	-0.51%	1426387344	99611					
FGEN	$14.42 	-0.47	-3.16%	1336877378	556990					
FHB	$27.26 	0.25	0.93%	3511615645	321492					
FHI	$37.77 	-0.1	-0.26%	3564860942	400089					
FHN	$16.37 	0.16	0.99%	8852080807	2360355					
FHTX	$20.26 	-0.92	-4.34%	832544504	141999					
FIBK	$40.46 	0.7	1.76%	2516645865	422334					
FICO	$433.70 	-1.18	-0.27%	11865317696	219213					
FINM	$9.76 	0	0.00%	505080000	40100					
FINV	$4.84 	-0.04	-0.82%	1371541563	636725					
FIS	$109.29 	0.85	0.78%	66550742326	2253528					
FISI	$32.10 	0.16	0.50%	508390973	62990					
FISV	$104.70 	0.76	0.73%	69126282862	2240497					
FITB	$43.78 	0.08	0.18%	29880103092	3294524					
FIVE	$196.47 	-0.49	-0.25%	11007307587	432184					
FIVN	$134.92 	-2.38	-1.73%	9181164739	748540					
FIX	$99.39 	-1.54	-1.53%	3582143614	119883					
FIZZ	$45.51 	-1.1	-2.36%	4247095415	163165					
FL	$42.47 	0.28	0.66%	4262648581	1284442					
FLGT	$97.28 	-5.86	-5.68%	2902003553	380181					
FLIC	$21.85 	0.13	0.60%	516042244	36795					
FLL	$11.81 	-0.54	-4.37%	404226692	292772					
FLNC	$36.02 	0.93	2.65%	1950240766	672538					
FLO	$27.43 	0.31	1.14%	5798558843	646088					
FLOW	$86.22 	-0.13	-0.15%	3616442374	280069					
FLR	$24.67 	0.07	0.29%	3488631968	785762					
FLS	$31.10 	0.46	1.50%	4051324693	1116355					
FLT	$224.81 	1.68	0.75%	18254256592	376640					
FLWS	$23.01 	-0.25	-1.08%	1497711880	800951					
FLYW	$36.51 	-0.15	-0.41%	3821920543	504457					
FMAC	$9.88 	-0.01	-0.10%	511290000	30177					
FMAO	$32.30 	0.2	0.62%	422039326	21547					
FMBH	$42.81 	-0.19	-0.44%	774366759	36799					
FMBI	$20.59 	0.3	1.48%	2350553679	247251					
FMC	$109.57 	0.62	0.57%	13888161307	517738					
FMIV	$9.73 	0.02	0.21%	418428103	10224					
FMNB	$18.60 	-0.02	-0.11%	630696593	49005					
FMTX	$14.21 	-0.41	-2.80%	709227153	242920					
FNB	$12.19 	0.04	0.33%	3887731199	1151659					
FNCH	$9.99 	-0.52	-4.95%	474312473	58874					
FNF	$51.66 	0.08	0.16%	14698909533	592604					
FNKO	$18.67 	-0.67	-3.46%	745490542	327543					
FNLC	$31.65 	0.5	1.61%	348032072	17018					
FOCS	$61.24 	0.18	0.30%	3996520012	257721					
FOE	$21.80 	0.05	0.23%	1803782293	170691					
FOF	$14.40 	-0.1	-0.69%	393102058	50420					
FOLD	$11.85 	-0.22	-1.82%	3301870633	1125247					
FOR	$21.71 	0.11	0.51%	1076625408	48991					
FORM	$45.25 	-0.68	-1.48%	3538885619	167381					
FORR	$59.87 	0.29	0.49%	1147767770	87597					
FOSL	$10.19 	-0.01	-0.10%	531365070	432579					
FOUN	$9.94 	-0.01	-0.10%	392940625	13525					
FOUR	$57.48 	-0.48	-0.83%	4767089143	1592426					
FOX	$34.77 	0.15	0.43%	19804509914	383761					
FOXA	$37.49 	0.17	0.46%	21353784201	1328207					
FOXF	$164.35 	-1.14	-0.69%	6919789606	99952					
FPH	$6.39 	-0.03	-0.47%	448139148	84929					
FR	$65.57 	0.44	0.68%	8543090187	507580					
FRA	$13.45 	0.01	0.07%	473873050	77358					
FRC	$207.37 	0.08	0.04%	37178540931	360545					
FREE	$10.65 	0.03	0.28%	409785247	90784					
FRG	$53.55 	-0.21	-0.39%	2157822365	123656					
FRME	$41.91 	0.17	0.41%	2259667631	110534					
FROG	$30.50 	0.11	0.36%	2939919217	676005					
FRPH	$58.12 	0.73	1.27%	546968947	4901					
FRPT	$93.79 	-1.2	-1.26%	4069593307	347834					
FRSH	$25.05 	-2	-7.39%	6591329096	1431749					
FRST	$15.12 	-0.01	-0.07%	371568239	30261					
FRT	$135.14 	0.53	0.39%	10512471814	300854					
FRTA	$23.79 	-0.13	-0.54%	1593288741	262399					
FSBC	$28.98 	-0.22	-0.75%	499145956	32546					
FSLR	$87.35 	-0.51	-0.58%	9287637245	560339					
FSP	$6.32 	-0.06	-0.94%	667598822	292582					
FSRX	$9.75 	-0.01	-0.10%	373425000	100400					
FSS	$42.96 	0.05	0.12%	2623651788	194707					
FSSI	$9.74 	0	0.00%	315028125	87					
FTAA	$9.90 	-0.02	-0.20%	338711997	54995					
FTAI	$28.83 	-1.15	-3.84%	2859370500	499494					
FTCI	$7.32 	-0.17	-2.27%	622087601	439131					
FTCV	$9.87 	0.01	0.10%	337422403	107688					
FTDR	$36.66 	0.65	1.81%	3104460560	628039					
FTHM	$19.26 	0.13	0.68%	311938947	60166					
FTHY	$20.54 	0.1	0.49%	754352738	94809					
FTNT	$366.00 	-1.67	-0.45%	59840923140	765678					
FTPA	$9.84 	0	0.00%	337052797	36					
FTSI	$26.21 	-0.03	-0.11%	368587325	70986					
FTVI	$9.82 	0.04	0.41%	336367730	5700					
FUL	$81.16 	0.27	0.33%	4265286941	125523					
FULC	$16.95 	-0.71	-4.02%	687301872	332054					
FULT	$17.23 	0.1	0.58%	2779267920	712643					
FUN	$50.03 	-0.36	-0.71%	2843820419	85851					
FUV	$8.44 	-0.03	-0.35%	317177631	897961					
FWAC	$9.83 	0.03	0.31%	346822060	548					
FWONA	$58.35 	-0.18	-0.31%	13484885899	100069					
FWONK	$61.67 	-0.64	-1.03%	14252149330	1525866					
FWRD	$119.89 	-0.97	-0.80%	3232023753	90629					
FWRG	$16.39 	-0.36	-2.15%	967804030	157442					
FYBR	$30.32 	1.32	4.55%	7410450560	838500					
GAB	$7.25 	0.02	0.28%	1910459245	392293					
GABC	$39.32 	-0.3	-0.76%	1043792652	26687					
GAIN	$16.75 	0.01	0.06%	556184135	119805					
GAM	$44.18 	-0.19	-0.43%	1068355193	13568					
GAMC	$9.68 	-0.0002	0.00%	347867813	2587					
GATE	$9.77 	-0.01	-0.10%	417382538	540					
GATO	$10.34 	-0.26	-2.45%	714850668	309594					
GATX	$103.06 	-0.27	-0.26%	3658630000	121978					
GBAB	$23.53 	0.09	0.38%	487795277	45706					
GBCI	$56.88 	0	0.00%	6295856538	188958					
GBDC	$15.37 	0.1	0.66%	2613339336	676102					
GBIO	$7.86 	0.02	0.26%	447310745	356590					
GBL	$24.87 	0.11	0.44%	671647775	13934					
GBT	$30.79 	-0.1	-0.32%	1984269771	1031875					
GBX	$44.91 	-0.33	-0.73%	1461645935	149147					
GCBC	$36.20 	0.4	1.12%	308185587	1534					
GCMG	$10.18 	-0.03	-0.29%	1874648099	137582					
GCO	$62.54 	0.83	1.35%	913531786	128004					
GD	$207.67 	0.54	0.26%	57986205106	899424					
GDDY	$82.50 	0.15	0.18%	13712072633	2483635					
GDEN	$49.64 	-1.07	-2.11%	1442375978	125470					
GDOT	$35.46 	-0.33	-0.92%	1939070527	580509					
GDRX	$33.01 	-0.36	-1.08%	13167052666	1270565					
GDV	$26.92 	-0.11	-0.41%	2433808369	92818					
GDYN	$36.53 	-5.55	-13.19%	1857224543	1044839					
GE	$95.30 	0.68	0.72%	1.04652E+11	4051916					
GEF	$59.02 	0.69	1.18%	3515379399	165137					
GEL	$10.65 	-0.14	-1.30%	1305468672	318878					
GEO	$7.69 	-0.06	-0.77%	942293542	971203					
GERN	$1.26 	-0.06	-4.55%	405655792	2360087					
GES	$23.50 	0.25	1.08%	1526904205	637105					
GEVO	$4.61 	-0.31	-6.30%	930586508	7362245					
GF	$20.14 	0.08	0.40%	317220206	74478					
GFF	$29.06 	0.03	0.10%	1645174100	201799					
GFS	$65.38 	1.38	2.16%	34772074743	1039064					
GGG	$80.48 	0.88	1.11%	13678829556	311106					
GGMC	$9.74 	0	0.00%	340149173	39					
GGN	$3.77 	0	0.00%	580719241	523473					
GGPI	$11.43 	-0.03	-0.26%	1143000000	2154857					
GH	$96.01 	0.35	0.37%	9760025971	800337					
GHC	$589.23 	2.66	0.45%	2918259387	16119					
GHL	$18.72 	0.27	1.46%	346206276	68492					
GHY	$15.19 	-0.04	-0.26%	621633722	113079					
GIC	$41.16 	-0.7	-1.67%	1556405595	22075					
GIII	$27.28 	-0.43	-1.55%	1324947943	344907					
GIIX	$10.26 	-0.04	-0.39%	442462500	163803					
GILD	$72.97 	0.1	0.14%	91532365600	3802562					
GIM	$5.23 	-0.01	-0.19%	537626364	311160					
GIS	$66.89 	0.83	1.26%	40348496163	1929131					
GKOS	$45.94 	-0.37	-0.80%	2154134640	334558					
GL	$94.16 	0.86	0.92%	9508203826	219374					
GLAD	$11.27 	0.01	0.09%	386610261	118672					
GLBL	$9.91 	0.0099	0.10%	427368750	18863					
GLDD	$15.64 	-0.11	-0.70%	1028119235	103939					
GLO	$10.83 	-0.12	-1.10%	431283545	489631					
GLP	$23.23 	-0.07	-0.30%	788227746	45497					
GLPI	$47.16 	-0.01	-0.02%	11603770253	738074					
GLSI	$23.08 	-0.72	-3.03%	302887541	180907					
GLT	$17.35 	-0.04	-0.23%	772510294	69236					
GLUE	$20.13 	-0.11	-0.54%	936164049	177715					
GLW	$37.35 	-0.02	-0.05%	31874805944	2472884					
GM	$57.11 	-0.32	-0.56%	82915741390	8577697					
GMBT	$9.90 	0.01	0.10%	426937500	928					
GME	$146.46 	-1.85	-1.25%	11182335385	1331082					
GMED	$72.76 	-0.43	-0.59%	7383017081	229286					
GMII	$9.96 	0.01	0.10%	560250000	831583					
GMS	$59.12 	-0.63	-1.05%	2545468887	122174					
GNK	$15.20 	-0.01	-0.07%	637253874	355190					
GNL	$15.14 	0.06	0.40%	1568568769	723995					
GNOG	$9.86 	-0.38	-3.71%	459184105	708327					
GNRC	$348.18 	-3.9	-1.11%	21966666799	382425					
GNTX	$35.01 	0.17	0.49%	8280568036	798277					
GNTY	$37.72 	-0.58	-1.51%	456020353	18903					
GNW	$4.11 	0	0.00%	2085355778	1585283					
GO	$28.59 	0.19	0.67%	2745127259	1141541					
GOCO	$3.61 	-0.1	-2.70%	1157757252	1475748					
GOEV	$8.00 	-0.34	-4.08%	1910265344	2874277					
GOF	$18.25 	-0.14	-0.76%	989515949	894444					
GOGO	$13.82 	-0.01	-0.07%	1519562691	531799					
GOLF	$52.42 	0.05	0.10%	3859671967	169069					
GOOD	$25.14 	0.32	1.29%	936927978	168377					
GOOG	$2,928.96 	-32.32	-1.09%	1.94414E+12	931217					
GOOGL	$2,933.74 	-24.39	-0.83%	1.94731E+12	910032					
GOSS	$10.80 	-0.34	-3.05%	825806135	272685					
GPAC	$9.69 	-0.06	-0.62%	363375000	89442					
GPC	$138.05 	0.34	0.25%	19661322311	360700					
GPI	$192.57 	0.43	0.22%	3485642363	73229					
GPK	$19.44 	0.32	1.67%	5970006912	1834420					
GPN	$135.15 	1.61	1.21%	39213907785	1217339					
GPOR	$76.40 	0.41	0.54%	1572767650	30388					
GPP	$14.35 	-0.17	-1.17%	333316821	25607					
GPRE	$35.50 	-0.58	-1.61%	1902657219	277844					
GPRO	$10.67 	-0.01	-0.09%	1664474023	1313810					
GPS	$17.41 	-0.13	-0.74%	6500950478	7697544					
GRBK	$30.11 	-0.13	-0.43%	1528382757	213744					
GRC	$44.58 	-0.07	-0.16%	1164725611	33786					
GREE	$16.90 	-2.05	-10.82%	686903965	763055					
GRPH	$11.81 	0.26	2.25%	685913014	632464					
GRPN	$24.25 	-0.78	-3.12%	716839506	858980					
GRTS	$13.02 	-0.44	-3.27%	885201482	1057124					
GRWG	$13.09 	-0.05	-0.38%	782885699	1342145					
GS	$387.61 	-0.43	-0.11%	1.29298E+11	1528154					
GSAQ	$9.83 	0.02	0.20%	317939063	136					
GSAT	$1.20 	-0.05	-4.00%	2151600000	6902772					
GSBC	$59.45 	-0.04	-0.07%	792977570	18228					
GSBD	$19.51 	0.02	0.10%	1986485003	481334					
GSEV	$9.76 	-0.06	-0.61%	671000000	15431					
GSHD	$126.75 	-11.94	-8.61%	4733341987	134048					
GSKY	$11.51 	0	0.00%	1060485176	375345					
GSS	$3.75 	0.02	0.54%	433968926	492554					
GT	$21.32 	-0.09	-0.42%	5997157187	1834660					
GTHX	$10.59 	-0.33	-3.02%	450309547	683509					
GTLB	$92.35 	-1.86	-1.97%	13372280000	434021					
GTLS	$158.17 	-1.32	-0.83%	5754844468	276014					
GTN	$20.77 	0.04	0.19%	1990247677	692278					
GTPA	$9.89 	0.07	0.71%	339968750	11225					
GTPB	$9.84 	0.01	0.10%	565800000	7730					
GTS	$35.65 	-0.03	-0.08%	848311678	35697					
GTY	$31.52 	0.19	0.61%	1429212180	272162					
GTYH	$6.48 	0.12	1.89%	373060378	75501					
GUT	$8.25 	0.18	2.23%	522621132	101727					
GVA	$38.42 	-0.1	-0.26%	1760663159	131640					
GWB	$33.64 	0.59	1.79%	1854185264	151022					
GWH	$12.85 	-0.23	-1.76%	1859083169	538770					
GWRE	$113.42 	-0.69	-0.61%	9448800392	272272					
GWRS	$16.94 	-0.02	-0.12%	383677211	18652					
GWW	$520.87 	4.72	0.91%	26835246881	155218					
GXII	$9.71 	0	0.00%	364125000	3					
H	$95.93 	0.23	0.24%	10547930772	655255					
HA	$19.08 	-0.01	-0.05%	977139480	558040					
HAAC	$9.77 	0	0.00%	538571250	75922					
HAE	$53.49 	0.38	0.72%	2733618860	586087					
HAFC	$23.44 	0.01	0.04%	336183114	96207					
HAIN	$42.18 	0.26	0.62%	3917739772	522884					
HAL	$23.05 	-0.12	-0.52%	20632426935	4106703					
HALO	$39.97 	-0.4	-0.99%	5627257189	555434					
HAS	$98.73 	-0.6	-0.60%	13619498029	379365					
HASI	$52.94 	0.01	0.02%	4473243863	347309					
HAYN	$41.49 	-0.01	-0.02%	521354627	41658					
HBAN	$15.42 	0.02	0.13%	22304432460	4542947					
HBCP	$41.16 	-0.54	-1.30%	350828248	21226					
HBI	$16.55 	-0.01	-0.06%	5779334690	2695963					
HBMD	$21.81 	0.07	0.32%	410316110	46589					
HBNC	$20.93 	0.03	0.14%	910888125	63805					
HBT	$18.73 	-0.16	-0.85%	544197884	11912					
HCA	$256.76 	2.99	1.18%	79858214128	708134					
HCAR	$9.75 	-0.03	-0.31%	403650000	1460577					
HCAT	$39.59 	-1.06	-2.61%	2060869050	333985					
HCC	$25.66 	-0.11	-0.43%	1319205516	289957					
HCCC	$9.89 	0.0006	0.01%	339968750	2721					
HCCI	$31.79 	-0.22	-0.69%	768951652	47597					
HCI	$87.10 	-0.93	-1.06%	892832138	58961					
HCIC	$9.80 	-0.03	-0.31%	422625000	17538					
HCII	$9.74 	0	0.00%	304375000	6349					
HCKT	$20.85 	-0.02	-0.10%	621166765	52220					
HCP	$93.18 	-4.42	-4.53%	16668753091	316341					
HCSG	$17.39 	0.05	0.29%	1296233210	885329					
HD	$406.22 	2.13	0.53%	4.24191E+11	2521387					
HE	$41.26 	0.57	1.40%	4510183784	182750					
HEAR	$23.27 	-0.85	-3.52%	373390048	239908					
HEES	$44.46 	-0.61	-1.35%	1606919514	79289					
HEI	$144.52 	0.87	0.61%	19584411887	169228					
HEP	$16.24 	0.02	0.12%	1712348864	166068					
HERA	$9.78 	0.04	0.41%	1064403366	5813718					
HES	$75.28 	-0.33	-0.44%	23316240580	827018					
HESM	$27.51 	-0.45	-1.61%	926080602	268288					
HFC	$32.85 	0.39	1.20%	5338001320	898136					
HFFG	$8.09 	0.07	0.87%	419979495	47959					
HFWA	$24.30 	0.05	0.21%	854548356	78064					
HHC	$100.59 	0.48	0.48%	5545332461	280965					
HI	$52.93 	-0.37	-0.69%	3823347578	478532					
HIBB	$68.85 	-0.19	-0.28%	942467270	276019					
HIFS	$404.00 	8.53	2.16%	865529600	2023					
HIG	$69.14 	0.3	0.44%	23532030826	574477					
HIGA	$9.83 	0.04	0.41%	447197419	4759					
HII	$186.28 	2.1	1.14%	7462562707	131354					
HIII	$9.73 	-0.02	-0.21%	729750000	4874					
HIO	$5.10 	0.01	0.20%	485005997	163075					
HIPO	$2.89 	-0.04	-1.37%	1626096414	2368226					
HIW	$44.54 	0.44	1.00%	4649221581	1822928					
HIX	$6.87 	-0.01	-0.15%	403885266	149710					
HL	$5.21 	-0.04	-0.76%	2803706613	4121058					
HLAH	$9.77 	0	0.00%	317237645	48914					
HLI	$105.59 	0.11	0.10%	7212365813	255545					
HLIO	$102.84 	-3.04	-2.87%	3332126142	85042					
HLIT	$11.89 	-0.21	-1.74%	1219537907	486041					
HLLY	$13.21 	0.35	2.72%	1529792491	64973					
HLMN	$10.55 	-0.15	-1.40%	1978858341	263241					
HLNE	$105.92 	0.02	0.02%	3939066506	97525					
HLTH	$14.59 	-1.07	-6.83%	2135430305	1129942					
HLX	$3.28 	-0.04	-1.21%	494914890	1300123					
HMCO	$9.82 	0.025	0.26%	377264063	14162					
HMHC	$16.29 	-0.05	-0.31%	2079919418	445319					
HMN	$39.09 	0.12	0.31%	1621748330	146665					
HMPT	$4.59 	-0.07	-1.50%	640431280	75815					
HMST	$51.83 	-0.21	-0.40%	1059924122	44638					
HMTV	$7.53 	0.08	1.07%	303242460	40245					
HNGR	$18.06 	0.16	0.89%	699076702	70045					
HNI	$42.14 	0.23	0.55%	1835591388	127636					
HNST	$7.86 	-0.26	-3.20%	715483916	864713					
HOG	$37.24 	0.84	2.31%	5730375905	4055383					
HOLX	$75.21 	-1.64	-2.13%	18909337986	1082400					
HOMB	$24.55 	0.03	0.12%	4022406976	353128					
HON	$207.05 	0.62	0.30%	1.42538E+11	1971320					
HONE	$14.89 	0.03	0.20%	792571025	77283					
HOOD	$17.45 	-0.99	-5.37%	15001868077	15776790					
HOPE	$14.66 	0.02	0.14%	1762131795	301423					
HOV	$130.87 	1.91	1.48%	818584129	68682					
HOWL	$11.61 	-0.36	-3.01%	320197565	48230					
HP	$24.71 	-0.43	-1.71%	2668735919	595278					
HPE	$15.97 	0.05	0.31%	20656235315	6010408					
HPF	$20.73 	-0.02	-0.10%	443846838	33274					
HPI	$20.80 	-0.04	-0.19%	547087902	29436					
HPK	$15.76 	0.01	0.06%	1534617030	53026					
HPP	$24.67 	-0.12	-0.48%	3761644496	829565					
HPQ	$37.95 	-0.15	-0.39%	41089321114	5220053					
HPS	$18.77 	-0.09	-0.48%	595835687	32002					
HPX	$9.83 	0	0.00%	310677150	7137					
HQH	$24.45 	-0.13	-0.53%	1110652693	69854					
HQL	$19.51 	-0.13	-0.66%	481280133	42518					
HQY	$44.43 	-0.55	-1.22%	3714409358	591667					
HR	$31.64 	-0.05	-0.16%	4668223564	630660					
HRB	$23.60 	0	0.00%	4144854383	923175					
HRL	$48.43 	0.45	0.94%	26276662630	1199740					
HRMY	$42.97 	-0.94	-2.14%	2512521171	183625					
HRTX	$9.89 	-0.35	-3.42%	1008141116	1371379					
HRZN	$16.01 	-0.07	-0.44%	327040160	103216					
HSC	$17.42 	-0.06	-0.34%	1379727757	275879					
HSIC	$76.87 	0.63	0.83%	10659902050	454340					
HSII	$44.48 	-0.14	-0.31%	871431121	72429					
HSKA	$176.75 	-0.96	-0.54%	1893089536	56618					
HST	$17.48 	0	0.00%	12481337359	4523610					
HSTM	$26.21 	-0.31	-1.17%	827245079	41887					
HSY	$190.97 	1.09	0.57%	39340531936	401411					
HT	$9.47 	-0.06	-0.63%	372353108	144333					
HTA	$33.54 	0.01	0.03%	7406909941	1430000					
HTBI	$31.44 	0.32	1.03%	512981674	55283					
HTBK	$11.90 	0.04	0.34%	717213405	105773					
HTD	$25.61 	0.09	0.35%	906834862	54354					
HTGC	$16.68 	0.11	0.66%	1933202359	1107452					
HTH	$35.12 	0.14	0.40%	2773096448	289755					
HTLD	$16.85 	0.04	0.24%	1329545054	108133					
HTLF	$50.99 	0.19	0.37%	2154419180	59229					
HTZ	$24.57 	-0.42	-1.68%	11379086434	3805592					
HUBB	$209.37 	0.97	0.47%	11392006574	127059					
HUBG	$83.18 	0.75	0.91%	2880548770	106068					
HUBS	$666.16 	-9.53	-1.41%	31475991386	285824					
HUM	$466.50 	2.27	0.49%	59961246752	315706					
HUMA	$7.82 	-0.01	-0.13%	805486463	597987					
HUN	$33.64 	0.06	0.18%	7334554565	2855449					
HURN	$50.16 	0.31	0.62%	1099386716	99689					
HUYA	$6.59 	-0.04	-0.60%	1564019738	2010398					
